Total Parameters: 326208
Epoch: 133, Loss: 0.4842, Val: 0.9260, Test: 0.9278, Train A/P/R: 0.8838/1.0000/0.8838, Test A/P/R: 0.8640/0.8692/0.8571
Epoch: 134, Loss: 0.4842, Val: 0.9216, Test: 0.9235, Train A/P/R: 0.8637/1.0000/0.8637, Test A/P/R: 0.8608/0.8781/0.8379
Epoch: 135, Loss: 0.4840, Val: 0.9250, Test: 0.9268, Train A/P/R: 0.8791/1.0000/0.8791, Test A/P/R: 0.8633/0.8713/0.8525
Epoch: 136, Loss: 0.4842, Val: 0.9226, Test: 0.9245, Train A/P/R: 0.8721/1.0000/0.8721, Test A/P/R: 0.8617/0.8735/0.8459
Epoch: 137, Loss: 0.4838, Val: 0.9226, Test: 0.9245, Train A/P/R: 0.8729/1.0000/0.8729, Test A/P/R: 0.8617/0.8729/0.8467
Epoch: 138, Loss: 0.4835, Val: 0.9243, Test: 0.9262, Train A/P/R: 0.8790/1.0000/0.8790, Test A/P/R: 0.8628/0.8704/0.8525
Epoch: 139, Loss: 0.4836, Val: 0.9206, Test: 0.9226, Train A/P/R: 0.8634/1.0000/0.8634, Test A/P/R: 0.8599/0.8766/0.8377
Epoch: 140, Loss: 0.4841, Val: 0.9278, Test: 0.9294, Train A/P/R: 0.8933/1.0000/0.8933, Test A/P/R: 0.8647/0.8630/0.8670
Epoch: 141, Loss: 0.4845, Val: 0.9124, Test: 0.9147, Train A/P/R: 0.8382/1.0000/0.8382, Test A/P/R: 0.8530/0.8831/0.8138
Epoch: 142, Loss: 0.4856, Val: 0.9343, Test: 0.9356, Train A/P/R: 0.9243/1.0000/0.9243, Test A/P/R: 0.8643/0.8408/0.8987
Epoch: 143, Loss: 0.4907, Val: 0.9069, Test: 0.9094, Train A/P/R: 0.8066/1.0000/0.8066, Test A/P/R: 0.8458/0.8948/0.7838
Epoch: 144, Loss: 0.4903, Val: 0.9311, Test: 0.9327, Train A/P/R: 0.8942/1.0000/0.8942, Test A/P/R: 0.8677/0.8679/0.8674
Epoch: 145, Loss: 0.4849, Val: 0.9322, Test: 0.9337, Train A/P/R: 0.9014/1.0000/0.9014, Test A/P/R: 0.8680/0.8629/0.8749
Epoch: 146, Loss: 0.4857, Val: 0.9142, Test: 0.9164, Train A/P/R: 0.8246/1.0000/0.8246, Test A/P/R: 0.8519/0.8919/0.8009
Epoch: 147, Loss: 0.4878, Val: 0.9279, Test: 0.9297, Train A/P/R: 0.8814/1.0000/0.8814, Test A/P/R: 0.8649/0.8725/0.8548
Epoch: 148, Loss: 0.4838, Val: 0.9322, Test: 0.9337, Train A/P/R: 0.9050/1.0000/0.9050, Test A/P/R: 0.8668/0.8585/0.8785
Epoch: 149, Loss: 0.4861, Val: 0.9209, Test: 0.9230, Train A/P/R: 0.8470/1.0000/0.8470, Test A/P/R: 0.8579/0.8856/0.8220
Epoch: 150, Loss: 0.4853, Val: 0.9236, Test: 0.9256, Train A/P/R: 0.8627/1.0000/0.8627, Test A/P/R: 0.8605/0.8788/0.8364
Epoch: 151, Loss: 0.4841, Val: 0.9312, Test: 0.9328, Train A/P/R: 0.9073/1.0000/0.9073, Test A/P/R: 0.8649/0.8536/0.8810
Epoch: 152, Loss: 0.4858, Val: 0.9233, Test: 0.9254, Train A/P/R: 0.8725/1.0000/0.8725, Test A/P/R: 0.8603/0.8710/0.8458
Epoch: 153, Loss: 0.4832, Val: 0.9189, Test: 0.9210, Train A/P/R: 0.8531/1.0000/0.8531, Test A/P/R: 0.8566/0.8783/0.8279
Epoch: 154, Loss: 0.4847, Val: 0.9297, Test: 0.9313, Train A/P/R: 0.8968/1.0000/0.8968, Test A/P/R: 0.8652/0.8615/0.8704
Epoch: 155, Loss: 0.4847, Val: 0.9276, Test: 0.9293, Train A/P/R: 0.8824/1.0000/0.8824, Test A/P/R: 0.8645/0.8709/0.8560
Epoch: 156, Loss: 0.4838, Val: 0.9197, Test: 0.9218, Train A/P/R: 0.8473/1.0000/0.8473, Test A/P/R: 0.8577/0.8846/0.8226
Epoch: 157, Loss: 0.4846, Val: 0.9264, Test: 0.9282, Train A/P/R: 0.8807/1.0000/0.8807, Test A/P/R: 0.8639/0.8708/0.8547
Epoch: 158, Loss: 0.4832, Val: 0.9279, Test: 0.9296, Train A/P/R: 0.8918/1.0000/0.8918, Test A/P/R: 0.8644/0.8635/0.8656
Epoch: 159, Loss: 0.4841, Val: 0.9182, Test: 0.9204, Train A/P/R: 0.8534/1.0000/0.8534, Test A/P/R: 0.8568/0.8785/0.8282
Epoch: 160, Loss: 0.4841, Val: 0.9241, Test: 0.9261, Train A/P/R: 0.8761/1.0000/0.8761, Test A/P/R: 0.8617/0.8704/0.8501
Epoch: 161, Loss: 0.4827, Val: 0.9281, Test: 0.9298, Train A/P/R: 0.8951/1.0000/0.8951, Test A/P/R: 0.8638/0.8599/0.8691
Epoch: 162, Loss: 0.4836, Val: 0.9194, Test: 0.9215, Train A/P/R: 0.8609/1.0000/0.8609, Test A/P/R: 0.8577/0.8742/0.8357
Epoch: 163, Loss: 0.4834, Val: 0.9220, Test: 0.9241, Train A/P/R: 0.8745/1.0000/0.8745, Test A/P/R: 0.8601/0.8684/0.8487
Epoch: 164, Loss: 0.4832, Val: 0.9264, Test: 0.9282, Train A/P/R: 0.8918/1.0000/0.8918, Test A/P/R: 0.8627/0.8604/0.8658
Epoch: 165, Loss: 0.4834, Val: 0.9191, Test: 0.9212, Train A/P/R: 0.8586/1.0000/0.8586, Test A/P/R: 0.8577/0.8761/0.8332
